Data da Geração: 16/05/2026;;;;;;;;;;;;;;;;;;;;;;;
Código do Contrato: 19982;;;;;;;;;;;;;;;;;;;;;;;
Nome do Contrato:;;;;;;;;;;;;;;;;;;;;;;;
Cliente: TM SEGURANCA CONSULTORIA & TECNOLOGIA INTEGRADA LTDA;;;;;;;;;;;;;;;;;;;;;;;
Código da Fatura: 494232;;;;;;;;;;;;;;;;;;;;;;;
Mês de referência: mai./2026;;;;;;;;;;;;;;;;;;;;;;;
Período apurado: 01/05/2026 à 15/05/2026;;;;;;;;;;;;;;;;;;;;;;;
Vencimento: 25/05/2026;;;;;;;;;;;;;;;;;;;;;;;
Status da fatura: A Pagar;;;;;;;;;;;;;;;;;;;;;;;
Código;Data da Transação;Hora da Transação;Data do Processamento;Tipo de Transação;Data da ativação;Quantidade de requisições;Placa;Tipo de Veículo;Marca do Veículo;Modelo do Veículo;TAG;Tipo de Tag;Apelido;Hierarquia;Categoria Cadastrada;Categoria cobrada;Estabelecimento;Endereço;Valor da Transação(R$);Valor utilizado de vale-pedágio(R$);Valor cobrado(R$);Valor Pago;MDF-e
b60c6db4-3b12-4a28-930f-10c79c9dd6bc;30/04/2026;19:43:18;01/05/2026 00:04;Pedágio;;;UGU6E48;Passeio;VOLKSWAGEN;POLO;"6790100008889452	";Tag;KIT 03;;2 eixos rodagem simples;2 eixos rodagem simples;RioSP;Rodovia Presidente Dutra, KM 318+900, Itatiaia - RJ;-13,78;0;-13,78;;Não
06cf35fc-dfa4-4be7-b4d8-881d27b82aa1;30/04/2026;22:22:06;01/05/2026 08:05;Pedágio;;;UGU6E48;Passeio;VOLKSWAGEN;POLO;"6790100008889452	";Tag;KIT 03;;2 eixos rodagem simples;2 eixos rodagem simples;RioSP;Rodovia Presidente Dutra, KM 204+500, Arujá - SP;-3,71;0;-3,71;;Não
c13d5d24-9eb0-4725-b948-906342abf813;30/04/2026;20:57:21;01/05/2026 10:23;Pedágio;;;UGU6E48;Passeio;VOLKSWAGEN;POLO;"6790100008889452	";Tag;KIT 03;;2 eixos rodagem simples;2 eixos rodagem simples;RioSP;Rodovia Presidente Dutra, KM 086+950, Pindamonhangaba - SP;-12,62;0;-12,62;;Não
40db2a54-f8e5-47c9-aab7-9918917a1987;23/04/2026;07:56:41;02/05/2026 13:09;Pedágio;;;UEB7H08;Passeio;VOLKSWAGEN;POLO;"6790100008889072	";Tag;KIT 05;;2 eixos rodagem simples;2 eixos rodagem simples;Autopista Fernão Dias;Rodovia Fernão Dias, KM 900+900, Cambuí - MG;-3,2;0;-3,2;;Não
0e952f3c-d657-4c1a-bfc8-d77cb472e2db;04/05/2026;06:38:40;04/05/2026 06:38;Pedágio;;;UEB7H08;Passeio;VOLKSWAGEN;POLO;"6790100008889072	";Tag;KIT 05;;2 eixos rodagem simples;2 eixos rodagem simples;Ecovias Imigrantes;Rodovia dos Imigrantes, KM 032+381, São Bernardo do Campo - SP;-38,7;0;-38,7;;Não
7b784080-80d7-4781-8dfb-16ef8a9c0d69;04/05/2026;14:14:51;04/05/2026 14:15;Pedágio;;;UER7D08;Passeio;VOLKSWAGEN;POLO;"6790100008888934	";Tag;KIT 05;;2 eixos rodagem simples;2 eixos rodagem simples;AutoBan;Rodovia dos Bandeirantes, KM 039+047, Franco da Rocha - SP;-13,7;0;-13,7;;Não
060a6c07-1efc-4335-b0eb-e1068057be3b;04/05/2026;14:14:54;04/05/2026 14:15;Pedágio;;;UGU6E48;Passeio;VOLKSWAGEN;POLO;"6790100008889452	";Tag;KIT 03;;2 eixos rodagem simples;2 eixos rodagem simples;AutoBan;Rodovia dos Bandeirantes, KM 039+047, Franco da Rocha - SP;-13,7;0;-13,7;;Não
645685d3-3d7a-41fb-a44e-05dae4aa9bd6;04/05/2026;17:00:11;04/05/2026 18:54;Pedágio;;;UGU6E48;Passeio;VOLKSWAGEN;POLO;"6790100008889452	";Tag;KIT 03;;2 eixos rodagem simples;2 eixos rodagem simples;RioSP;Rodovia Presidente Dutra, KM 165+200, Jacareí - SP;-7,7;0;-7,7;;Não
9e468f1c-ed0d-4a91-9fcf-72c7175e8a52;04/05/2026;19:04:50;04/05/2026 20:08;Pedágio;;;UGU6E48;Passeio;VOLKSWAGEN;POLO;"6790100008889452	";Tag;KIT 03;;2 eixos rodagem simples;2 eixos rodagem simples;RioSP;Rodovia Presidente Dutra, KM 180+800, Guararema - SP;-4,28;0;-4,28;;Não
a951fa34-00cd-4df2-a035-2e35263b4462;04/05/2026;19:19:46;04/05/2026 20:08;Pedágio;;;UGU6E48;Passeio;VOLKSWAGEN;POLO;"6790100008889452	";Tag;KIT 03;;2 eixos rodagem simples;2 eixos rodagem simples;RioSP;Rodovia Presidente Dutra, KM 204+500, Arujá - SP;-4,28;0;-4,28;;Não
3ec0432f-735c-495e-8abc-177150047e6a;04/05/2026;18:50:22;04/05/2026 20:44;Pedágio;;;UGU6E48;Passeio;VOLKSWAGEN;POLO;"6790100008889452	";Tag;KIT 03;;2 eixos rodagem simples;2 eixos rodagem simples;RioSP;Rodovia Presidente Dutra, KM 165+200, Jacareí - SP;-7,7;0;-7,7;;Não
623cd590-d41c-4dd0-9f27-3bc853d5df99;04/05/2026;19:23:50;04/05/2026 21:15;Pedágio;;;UER7D08;Passeio;VOLKSWAGEN;POLO;"6790100008888934	";Tag;KIT 05;;2 eixos rodagem simples;2 eixos rodagem simples;RioSP;Rodovia Presidente Dutra, KM 165+200, Jacareí - SP;-7,7;0;-7,7;;Não
92746bf2-6e4b-460a-989b-46759cef423c;04/05/2026;20:49:14;04/05/2026 21:46;Pedágio;;;UER7D08;Passeio;VOLKSWAGEN;POLO;"6790100008888934	";Tag;KIT 05;;2 eixos rodagem simples;2 eixos rodagem simples;RioSP;Rodovia Presidente Dutra, KM 180+800, Guararema - SP;-4,28;0;-4,28;;Não
eacc8391-6142-468f-ad13-b39f052242bb;04/05/2026;21:30:22;04/05/2026 22:25;Pedágio;;;UER7D08;Passeio;VOLKSWAGEN;POLO;"6790100008888934	";Tag;KIT 05;;2 eixos rodagem simples;2 eixos rodagem simples;RioSP;Rodovia Presidente Dutra, KM 204+500, Arujá - SP;-4,28;0;-4,28;;Não
5557a905-86db-423e-87ba-92ef1ba68073;04/05/2026;22:36:59;04/05/2026 22:37;Pedágio;;;UGU6E48;Passeio;VOLKSWAGEN;POLO;"6790100008889452	";Tag;KIT 03;;2 eixos rodagem simples;2 eixos rodagem simples;AutoBan;Rodovia Anhanguera, KM 026+495, São Paulo - SP;-13,7;0;-13,7;;Não
d0669298-7955-4231-957a-97610baf37e9;04/05/2026;23:15:17;04/05/2026 23:15;Pedágio;;;UGU6E48;Passeio;VOLKSWAGEN;POLO;"6790100008889452	";Tag;KIT 03;;2 eixos rodagem simples;2 eixos rodagem simples;AutoBan;Rodovia Anhanguera, KM 026+495, São Paulo - SP;-13,7;0;-13,7;;Não
c019b0c3-331b-4498-9d46-be0ad47f1e12;04/05/2026;20:39:03;04/05/2026 23:36;Pedágio;;;UER7D08;Passeio;VOLKSWAGEN;POLO;"6790100008888934	";Tag;KIT 05;;2 eixos rodagem simples;2 eixos rodagem simples;RioSP;Rodovia Presidente Dutra, KM 165+200, Jacareí - SP;-7,7;0;-7,7;;Não
8e4406fd-f38b-42e1-b05c-6c5bda43f5f3;05/05/2026;00:07:24;05/05/2026 00:07;Pedágio;;;UGU6E48;Passeio;VOLKSWAGEN;POLO;"6790100008889452	";Tag;KIT 03;;2 eixos rodagem simples;2 eixos rodagem simples;Ecovias Imigrantes;Rodovia dos Imigrantes, KM 032+381, São Bernardo do Campo - SP;-38,7;0;-38,7;;Não
05000582-8fc7-4172-87af-a11f1281d4a5;05/05/2026;03:37:30;05/05/2026 03:37;Pedágio;;;UGU6E48;Passeio;VOLKSWAGEN;POLO;"6790100008889452	";Tag;KIT 03;;2 eixos rodagem simples;2 eixos rodagem simples;Ecovias Imigrantes;Rodovia Cônego Domênico Rangoni, KM 250+464, Santos - SP;-18,3;0;-18,3;;Não
